driverId,week,hours-logged,miles-logged
81,47,73,1200
91,4,50,1700
61,52,50,2400
70,33,78,2400
37,21,50,3500
57,24,63,1500
40,14,64,2800
70,1,71,2200
15,35,60,2900
98,9,75,3300
82,13,53,1000
83,25,58,1600
30,42,61,400
22,7,66,3600
65,31,76,2800
41,9,67,1400
19,30,60,700
30,43,80,1900
78,43,74,500
102,45,60,400
102,49,58,3000
28,34,65,500
52,7,74,2400
29,45,75,2800
49,12,77,1000
14,30,74,700
52,42,54,2100
18,24,53,3400
98,49,62,2500
25,22,72,3300
56,19,55,2100
10,52,67,1100
30,27,56,1300
57,29,76,3400
40,44,55,3800
58,41,79,2800
97,25,59,1200
39,52,74,0
88,4,73,3800
72,50,64,2200
108,10,76,3500
45,2,73,4000
49,9,78,2100
28,39,56,600
75,43,60,300
32,17,56,3600
94,35,67,1600
52,46,73,700
65,32,57,3100
49,3,51,300
18,6,78,2000
99,47,66,1000
100,41,51,2100
58,20,76,400
85,33,77,3900
11,31,52,1700
105,6,75,1800
93,1,60,3700
15,47,76,300
45,10,60,2600
26,14,51,2800
26,20,55,3500
83,33,75,2000
36,23,72,2400
32,17,53,1300
93,1,53,1900
44,1,75,2600
31,50,60,1100
18,42,50,1800
83,14,68,300
65,46,52,3900
28,11,54,1000
60,4,68,1900
104,22,57,3800
62,50,61,3300
15,50,72,3900
94,9,55,3800
42,17,53,3900
23,44,61,300
81,9,68,1500
35,13,50,3400
109,40,77,400
65,27,53,800
77,16,58,1400
92,26,58,100
75,11,61,3600
86,39,70,3500
109,47,63,1800
12,29,60,3800
98,40,62,3500
47,43,53,1400
32,42,62,4000
66,30,67,1200
68,49,50,2700
53,19,65,200
60,46,55,1000
42,18,78,4000
88,4,55,3300
98,20,50,1100
107,17,55,2300
12,1,68,2400
86,50,70,3700
74,12,70,1100
87,33,71,500
107,26,52,700
83,42,54,1900
28,26,53,2200
48,28,51,3400
30,46,62,2700
91,27,71,3900
50,46,63,1200
58,51,63,1000
98,15,75,2100
32,37,60,800
42,7,54,3000
66,11,67,600
89,16,76,2200
37,24,60,2600
89,40,63,100
88,23,78,2900
92,16,73,3100
35,43,72,2500
62,46,77,900
48,41,78,3500
40,41,55,900
14,46,75,2200
53,46,54,900
69,33,73,200
36,4,74,400
